dmun_codibge,dmun_uf_sigla,dmun_uf_nome,dmun_uf_nomex,dmun_municipio,dmun_municipiox,dmun_regiao_saude,dmun_regiao_saudex,dmun_macro_regiao,dmun_macro_regiaox,dmun_divisao_adm,dmun_divisao_admx,dmun_micro_regiao,dmun_micro_regiaox,dmun_regiao_metropolitana,dmun_regiao_metropolitanax,dmun_area_uf,dmun_area_mun,dmun_latitude_mun,dmun_longitude_mun,dmun_altitude_mun,dmun_amazonia_mun,dmun_fronteira_faixa_mun,dmun_fronteira_zona_mun,dmun_capital_mun,dmun_regiao,dmun_regiaox,dmun_pobreza_mun,dmun_semiar_mun,dmun_ride_regiao,dmun_ride_regiaox,dmun_pertence_ride
1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
110000,RO,Rondônia,RONDONIA,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Município ignorado - RO,MUNICIPIO IGNORADO - RO,Município ignorado - RO,MUNICIPIO IGNORADO - RO,237590.547,00.000,00.000000,00.000000,0,S,N,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110001,RO,Rondônia,RONDONIA,Alta Floresta D'Oeste,ALTA FLORESTA D'OESTE,Zona da Mata,ZONA DA MATA,Região não definida - RO,REGIAO NAO DEFINIDA - RO,II DRS,II DRS,Cacoal,CACOAL,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,7067.025,-11.935540,-61.999820,338,S,S,S,N,Região Norte,REGIAO NORTE,N,N,-,-,
110002,RO,Rondônia,RONDONIA,Ariquemes,ARIQUEMES,Vale do Jamari,VALE DO JAMARI,Região não definida - RO,REGIAO NAO DEFINIDA - RO,Dept.Epidemiologia,DEPT.EPIDEMIOLOGIA,Ariquemes,ARIQUEMES,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,4426.571,-09.908460,-63.033270,139,S,N,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110003,RO,Rondônia,RONDONIA,Cabixi,CABIXI,Cone Sul,CONE SUL,Região não definida - RO,REGIAO NAO DEFINIDA - RO,III DRS,III DRS,Colorado do Oeste,COLORADO DO OESTE,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,1314.352,-13.499760,-60.544310,236,S,S,S,N,Região Norte,REGIAO NORTE,N,N,-,-,
110004,RO,Rondônia,RONDONIA,Cacoal,CACOAL,Café,CAFE,Região não definida - RO,REGIAO NAO DEFINIDA - RO,II DRS,II DRS,Cacoal,CACOAL,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,3792.892,-11.433870,-61.442940,177,S,N,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110005,RO,Rondônia,RONDONIA,Cerejeiras,CEREJEIRAS,Cone Sul,CONE SUL,Região não definida - RO,REGIAO NAO DEFINIDA - RO,III DRS,III DRS,Colorado do Oeste,COLORADO DO OESTE,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,2783.300,-13.195030,-60.818430,263,S,S,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110006,RO,Rondônia,RONDONIA,Colorado do Oeste,COLORADO DO OESTE,Cone Sul,CONE SUL,Região não definida - RO,REGIAO NAO DEFINIDA - RO,III DRS,III DRS,Colorado do Oeste,COLORADO DO OESTE,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,1451.060,-13.130560,-60.555070,419,S,S,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110007,RO,Rondônia,RONDONIA,Corumbiara,CORUMBIARA,Cone Sul,CONE SUL,Região não definida - RO,REGIAO NAO DEFINIDA - RO,III DRS,III DRS,Colorado do Oeste,COLORADO DO OESTE,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,3060.321,-12.997520,-60.948700,269,S,S,N,N,Região Norte,REGIAO NORTE,N,N,-,-,
110008,RO,Rondônia,RONDONIA,Costa Marques,COSTA MARQUES,Vale do Guaporé,VALE DO GUAPORE,Região não definida - RO,REGIAO NAO DEFINIDA - RO,I DRS,I DRS,Guajará-Mirim,GUAJARA-MIRIM,Fora da Região Metropolitana - RO,FORA DA REGIAO METROPOLITANA - RO,237590.547,4987.177,-12.436010,-64.231650,145,S,S,S,N,Região Norte,REGIAO NORTE,N,N,-,-,
