Municipio,dmun_uf_nome
Abadia de Goiás,Goiás
Abadiânia,Goiás
Acreúna,Goiás
Adelândia,Goiás
Água Fria de Goiás,Goiás
Água Limpa,Goiás
Águas Lindas de Goiás,Goiás
Alexânia,Goiás
Aloândia,Goiás
Alto Horizonte,Goiás
Alto Paraíso de Goiás,Goiás
Alvorada do Norte,Goiás
Amaralina,Goiás
Americano do Brasil,Goiás
Amorinópolis,Goiás
Anápolis,Goiás
Anhanguera,Goiás
Anicuns,Goiás
Aparecida de Goiânia,Goiás
Aparecida do Rio Doce,Goiás
Aporé,Goiás
Araçu,Goiás
Aragarças,Goiás
Aragoiânia,Goiás
Araguapaz,Goiás
Arenópolis,Goiás
Aruanã,Goiás
Aurilândia,Goiás
Avelinópolis,Goiás
Baliza,Goiás
Barro Alto,Goiás
Bela Vista de Goiás,Goiás
Bom Jardim de Goiás,Goiás
Bom Jesus de Goiás,Goiás
Bonfinópolis,Goiás
Bonópolis,Goiás
Brazabrantes,Goiás
Britânia,Goiás
Buriti Alegre,Goiás
Buriti de Goiás,Goiás
Buritinópolis,Goiás
Cabeceiras,Goiás
Cachoeira Alta,Goiás
Cachoeira de Goiás,Goiás
Cachoeira Dourada,Goiás
Caçu,Goiás
Caiapônia,Goiás
Caldas Novas,Goiás
Caldazinha,Goiás
Campestre de Goiás,Goiás
Campinaçu,Goiás
Campinorte,Goiás
Campo Alegre de Goiás,Goiás
Campo Limpo de Goiás,Goiás
Campos Belos,Goiás
Campos Verdes,Goiás
Carmo do Rio Verde,Goiás
Castelândia,Goiás
Catalão,Goiás
Caturaí,Goiás
Cavalcante,Goiás
Ceres,Goiás
Cezarina,Goiás
Chapadão do Céu,Goiás
Cidade Ocidental,Goiás
Cocalzinho de Goiás,Goiás
Colinas do Sul,Goiás
Córrego do Ouro,Goiás
Corumbá de Goiás,Goiás
Corumbaíba,Goiás
Cristalina,Goiás
Cristianópolis,Goiás
Crixás,Goiás
Cromínia,Goiás
Cumari,Goiás
Damianópolis,Goiás
Damolândia,Goiás
Davinópolis,Goiás
Diorama,Goiás
Divinópolis de Goiás,Goiás
Doverlândia,Goiás
Edealina,Goiás
Edéia,Goiás
Estrela do Norte,Goiás
Faina,Goiás
Fazenda Nova,Goiás
Firminópolis,Goiás
Flores de Goiás,Goiás
Formosa,Goiás
Formoso,Goiás
