dmun_municipio,dte_id_formatado,Quantidade_Tuberculose
Abadia de Goiás,Agosto De 2022,1
Abadia de Goiás,Fevereiro De 2024,1
Abadia de Goiás,Maio De 2023,1
Abadia de Goiás,Novembro De 2021,1
Abadia de Goiás,Novembro De 2023,1
Abadia de Goiás,Outubro De 2023,1
Abadia de Goiás,Setembro De 2023,3
Abadiânia,Abril De 2022,2
Abadiânia,Agosto De 2022,1
Abadiânia,Julho De 2022,2
Abadiânia,Junho De 2022,2
Abadiânia,Maio De 2022,1
Abadiânia,Maio De 2023,1
Abadiânia,Março De 2022,1
Abadiânia,Novembro De 2022,1
Abadiânia,Setembro De 2021,1
Acreúna,Abril De 2022,1
Acreúna,Agosto De 2022,1
Acreúna,Agosto De 2023,1
Acreúna,Janeiro De 2021,1
Acreúna,Janeiro De 2023,1
Adelândia,Dezembro De 2021,1
Adelândia,Janeiro De 2024,1
Alexânia,Agosto De 2022,1
Alexânia,Dezembro De 2021,2
Alexânia,Fevereiro De 2024,1
Alexânia,Janeiro De 2023,1
Alexânia,Julho De 2023,1
Alexânia,Junho De 2023,1
Alexânia,Maio De 2024,1
Alexânia,Março De 2024,1
Alexânia,Outubro De 2023,1
Alto Horizonte,Julho De 2023,1
Alto Horizonte,Junho De 2022,1
Alto Horizonte,Setembro De 2023,1
Alto Paraíso de Goiás,Dezembro De 2021,2
Alto Paraíso de Goiás,Fevereiro De 2023,1
Alto Paraíso de Goiás,Julho De 2021,1
Alvorada do Norte,Abril De 2021,1
Alvorada do Norte,Junho De 2021,1
Alvorada do Norte,Março De 2022,1
Alvorada do Norte,Março De 2023,1
Amaralina,Fevereiro De 2024,1
Amaralina,Junho De 2022,1
Americano do Brasil,Março De 2023,1
Anicuns,Abril De 2023,1
Anicuns,Agosto De 2023,1
Anicuns,Janeiro De 2023,1
Anicuns,Julho De 2023,1
Anápolis,Abril De 2021,6
Anápolis,Abril De 2022,5
Anápolis,Abril De 2023,1
Anápolis,Abril De 2024,2
Anápolis,Agosto De 2021,3
Anápolis,Agosto De 2022,7
Anápolis,Agosto De 2023,3
Anápolis,Dezembro De 2021,2
Anápolis,Dezembro De 2023,6
Anápolis,Fevereiro De 2021,1
Anápolis,Fevereiro De 2022,5
Anápolis,Fevereiro De 2023,6
Anápolis,Fevereiro De 2024,2
Anápolis,Janeiro De 2021,5
Anápolis,Janeiro De 2022,2
Anápolis,Janeiro De 2023,6
Anápolis,Julho De 2021,2
Anápolis,Julho De 2022,4
Anápolis,Julho De 2023,4
Anápolis,Junho De 2021,4
Anápolis,Junho De 2023,5
Anápolis,Junho De 2024,1
Anápolis,Maio De 2021,1
Anápolis,Maio De 2022,2
Anápolis,Maio De 2023,6
Anápolis,Maio De 2024,3
Anápolis,Março De 2021,2
Anápolis,Março De 2022,2
Anápolis,Março De 2023,1
Anápolis,Novembro De 2021,3
Anápolis,Novembro De 2022,2
Anápolis,Novembro De 2023,1
Anápolis,Outubro De 2021,6
Anápolis,Outubro De 2022,1
Anápolis,Outubro De 2023,1
Anápolis,Setembro De 2021,2
Anápolis,Setembro De 2022,10
Anápolis,Setembro De 2023,3
Aparecida de Goiânia,Abril De 2021,8
Aparecida de Goiânia,Abril De 2022,11
Aparecida de Goiânia,Abril De 2023,7
